Entity,Code,Year,"Age-standardized deaths from malignant neoplasms in both sexes in those aged all ages per 100,000 people","Deaths from malignant neoplasms per 100,000 people in, both sexes aged all ages"
Albania,ALB,1987,88.86098,61.571472
Albania,ALB,1988,99.33253,69.341324
Albania,ALB,1989,92.8172,64.63675
Albania,ALB,1992,74.52899,56.393215
Albania,ALB,1993,66.275505,51.80742
Albania,ALB,1994,59.959095,48.376015
Albania,ALB,1995,79.973694,64.23713
Albania,ALB,1996,89.26425,72.28145
Albania,ALB,1997,83.35791,67.563095
Albania,ALB,1998,87.945984,70.444786
Albania,ALB,1999,91.83543,73.66455
Albania,ALB,2000,96.299095,79.15864
Albania,ALB,2001,75.783905,69.91879
Albania,ALB,2002,85.5631,79.14661
Albania,ALB,2003,93.94218,88.50174
Albania,ALB,2004,89.29275,86.91306
Albania,ALB,2005,81.91079,85.00775
Albania,ALB,2006,80.33724,86.314316
Albania,ALB,2007,68.52782,76.3631
Albania,ALB,2008,75.5324,86.68893
Albania,ALB,2009,70.734245,84.849915
Albania,ALB,2010,53.232414,65.46451
Antigua and Barbuda,ATG,1961,115.36635,67.85714
Antigua and Barbuda,ATG,1962,106.60261,60.344826
Antigua and Barbuda,ATG,1963,163.71687,91.803276
Antigua and Barbuda,ATG,1964,180.86116,78.333336
Antigua and Barbuda,ATG,1966,131.50122,81.666664
Antigua and Barbuda,ATG,1969,154.70233,98.4127
Antigua and Barbuda,ATG,1970,102.91071,71.676765
Antigua and Barbuda,ATG,1971,140.77502,83.90696
Antigua and Barbuda,ATG,1972,142.46162,90.43706
Antigua and Barbuda,ATG,1973,123.539986,70.699135
Antigua and Barbuda,ATG,1974,116.92481,77.62991
Antigua and Barbuda,ATG,1975,149.4563,84.563225
Antigua and Barbuda,ATG,1976,141.67532,89.79108
Antigua and Barbuda,ATG,1977,159.40036,109.396866
Antigua and Barbuda,ATG,1978,130.11209,90.270164
Antigua and Barbuda,ATG,1983,83.3821,58.264683
Antigua and Barbuda,ATG,1985,128.11398,105.20183
