Ingredient,Measure,IngredientNumber,idDrink
Kahlua,,1,14466
Everclear,750 ml ,1,16992
Gin,2 oz ,1,11416
Baileys irish cream,1 oz ,1,14842
Hpnotiq,2 oz,1,178319
Absolut Kurant,3/4 oz ,1,14360
Sweet Vermouth,2 shots ,1,17227
Applejack,1 1/2 oz ,1,17833
Dark rum,1 shot ,1,16295
Vodka,2 oz ,1,13072
Yoghurt,1/2 cup plain ,1,12690
Grand Marnier,3 parts ,1,14860
Bitters,3 dashes ,1,11145
Vodka,2 oz ,1,12528
Champagne,Chilled ,1,11053
Vermouth,25 ml,1,17239
Gin,6 cl,1,17218
Malibu rum,1 1/2 oz ,1,16250
Lime,2 ,1,13206
Rum,1/2 oz ,1,13192
Gin,1 1/2 oz,1,17249
Amaretto,1 1/2 oz ,1,11026
Berries,1 cup ,1,12710
Mango,2 ,1,12698
Vanilla ice-cream,2 scoops ,1,16447
Goldschlager,1 oz ,1,14053
Rum,2 shots,1,178328
Water,1 cup ,1,12856
Bourbon,3 oz ,1,11604
151 proof rum,1 oz Bacardi ,1,14610
Gin,1 oz,1,17248
Rose,750 ml,1,178352
Gin,4 cl,1,17210
Gin,2 oz ,1,17189
Añejo rum,1 1/2 oz ,1,11119
Cachaca,25 ml,1,17175
Lime,1,1,178326
Amaretto,1 1/2 oz ,1,13731
Crown Royal,1 shot ,1,16419
Cranberry juice,2 oz ,1,14564
Kahlua,3/4 oz ,1,14282
Amaretto,,1,16202
Vodka,1 oz,1,178349
Orange,3 large ,1,12796
Dark Rum,4.5 cL,1,178368
Coffee,1/2 ,1,15743
Coffee,black,1,12784
Everclear,2 pint ,1,12876
Godiva liqueur,2 shots ,1,16990
Brandy,3/4 oz ,1,11084
Gin,2 oz ,1,11420
Gin,6 cl,1,178366
Sambuca,30 ml white ,1,13405
Vodka,1 1/2 oz,1,17252
Southern Comfort,750 ml ,1,16041
Coffee liqueur,1 shot ,1,14095
Vodka,1 oz ,1,11117
Orange Bitters,1 dash,1,17254
Sweet Vermouth,1 oz ,1,11255
Light rum,3 oz ,1,12436
Campari,1 1/2 oz,1,178337
Gin,1 1/2 oz ,1,17834
Triple sec,1/2 jigger ,1,17168
Vodka,1 oz ,1,11422
Absolut Citron,1 shot ,1,16134
Crown Royal,1 shot ,1,14087
Absolut Citron,2/3 ,1,14372
Absolut Kurant,4 cl ,1,14456
Gin,1 shot,1,178354
Blended Scotch,2 oz,1,17829
Cachaca,60 ml,1,178346
Angelica root,3 tblsp chopped,1,12794
Amaretto,1 1/2 oz ,1,11025
Chocolate,12 oz fine ,1,12738
Gin,1 oz ,1,12055
Scotch,1 1/2 oz ,1,11060
Corona,1 bottle ,1,15086
Gin,2 oz ,1,11472
Cherry Heering,1 part ,1,14482
Amaretto,1 jigger ,1,17005
Apricot brandy,1 qt ,1,15849
Gin,50 ml,1,17824
Lemon peel,1 long strip ,1,17202
Gin,2 oz ,1,11407
Sugar,2 tsp,1,11202
Light Rum,1 oz,1,178339
Ice,cubes,1,15951
Brandy,1 1/2 oz ,1,17193
Red wine,2 oz white or ,1,13056
Fruit punch,2 part ,1,16991
Grapefruit juice,5 oz ,1,12107
Dark rum,1 1/2 oz ,1,17835
Red wine,2 bottles ,1,13024
Cointreau,1/2 oz ,1,14133
Gin,3/4 oz,1,17250
Guinness stout,1/2 ,1,16403
Light rum,2 oz ,1,11390
Gin,2 oz ,1,11415
Vodka,1 1/4 oz Stoli ,1,16963
Vodka,70ml/2fl oz,1,17181
Absolut Citron,2 oz ,1,16108
Vanilla Ice-Cream,2 scoops ,1,17220
Absolut Citron,2 oz ,1,13204
Vodka,2 oz ,1,12162
Gin,6 cl,1,178314
Gin,1 1/2 oz ,1,11418
Gin,2 oz ,1,11410
Grenadine,1 part ,1,12560
Gin,1 oz,1,17174
Tequila,1 1/2 oz ,1,11118
Vodka,1 shot ,1,17224
Red wine,1 L ,1,12944
Cranberry juice,4 cups ,1,12890
Hot Damn,5 shots ,1,15813
Raspberry Vodka,50 ml,1,178356
Gin,1 oz ,1,11720
Apricot brandy,3/4 oz ,1,11339
Gin,2 oz ,1,11054
Sambuca,1 part,1,178306
Light rum,1 1/2 oz ,1,11050
Gin,2 oz ,1,12057
Bourbon,2 oz ,1,11580
Whiskey,12 oz ,1,13200
151 proof rum,1/2 shot Bacardi ,1,15288
Sweet Vermouth,1 oz ,1,11106
Sugar,2 1/2 cups ,1,17044
Scotch,1 oz ,1,11369
Gin,4.5 cL,1,178367
Light rum,2 oz ,1,12093
Beer,3/4 bottle ,1,14378
Lime,½,1,17176
Malibu rum,2 parts ,1,15224
Lime,1/2,1,17830
Absinthe,2 shots,1,178334
Red wine,1 bottle ,1,13020
Rum,4 parts,1,17268
Water,2 cups ,1,12774
Coca-Cola,1 dl ,1,17108
Vanilla vodka,2 1/2 oz ,1,14598
Lemon,Juice of 1 ,1,13036
Vodka,4 cl ,1,12756
Vodka,2 cups ,1,14956
Bourbon,4.5 cL,1,11001
Gin,50 ml,1,17242
Ice,8 cubes,1,16176
Espresso,,1,12776
Dry Vermouth,1 oz ,1,12418
Apricot brandy,1 oz ,1,12308
Gin,1 2/3 oz ,1,11005
Light rum,1 1/2 oz ,1,11387
Light rum,2 oz ,1,11288
Brandy,1 1/2 oz ,1,12256
Baileys irish cream,3/4 oz ,1,16987
Vodka,3 cl,1,178357
Milk,6 cups ,1,12732
Gin,1 1/2 oz ,1,11320
Rum,1 shot,1,178309
Rum,40 ml,1,178338
Tequila,4 oz,1,178327
Corona,1 ,1,17035
Malibu rum,1/2 oz ,1,14588
Crown Royal,1 1/2 oz ,1,15082
Milk,10 cl cold ,1,12654
Beer,4 oz,1,178343
Vodka,2 cl ,1,15182
Lager,1/2 pint ,1,15789
Vodka,1 oz ,1,12754
Vodka,1 oz ,1,11600
Sweet Vermouth,1 1/2 tsp ,1,11055
Vodka,2 oz ,1,11009
Vodka,1 1/4 oz ,1,17196
Vanilla Ice-Cream,3 cups ,1,17221
Rum,1 shot ,1,17229
Tequila,1 shot,1,178307
Brandy,1 oz ,1,11786
Vodka,3 parts,1,15266
Sprite,1 L ,1,13535
Gin,4.5 cl,1,17180
Pineapple juice,10 cl ,1,12572
White Rum,6 cl,1,178316
Scotch,1 cup ,1,12820
Dry Vermouth,1 oz ,1,11021
Vodka,1 shot ,1,17074
Brandy,2 oz ,1,11164
Gin,2 oz ,1,17185
Amaretto,1 1/2 oz ,1,11028
Light rum,1 1/4 oz ,1,11239
Rum,1/6 glass ,1,15825
Gin,1 1/2 oz ,1,11662
Gin,5 cl,1,178315
Tequila,2 oz ,1,12362
Cointreau,5 cl ,1,14594
Gin,1 1/2 oz ,1,11566
Vodka,1 oz,1,178318
Ginger,1/4 inch ,1,12718
Ice,1 cup ,1,16158
Yoghurt,1 cup ,1,12696
gin,6 cl,1,17187
Vodka,1 shot ,1,14272
Mint,4 fresh ,1,17206
Vodka,1 1/2 oz ,1,13377
Bourbon,2 oz,1,178333
Amaretto,1 shot ,1,16405
Absolut Vodka,2 oz ,1,15024
Cherry Juice,1 bottle,1,178313
Blue Curacao,,1,17105
Egg,1/2 cup ,1,12916
Dry Vermouth,1/2 oz ,1,11991
Sugar,1 tsp superfine ,1,11146
Kahlua,2 tsp ,1,12772
Cocoa powder,2 tsp ,1,12746
Jim Beam,1 part ,1,16985
Baileys irish cream,2 oz ,1,14510
Malibu Rum,1 oz,1,178320
Rum,2 shots,1,178329
Raspberry vodka,2 oz ,1,17167
Coffee,6 tblsp ground,1,12782
Ginger,2 pieces ,1,12702
Tequila,2 shots,1,178348
Coffee,10 tblsp instant ,1,12798
Vodka,1 1/2 oz ,1,11424
Peppermint schnapps,,1,13807
Gin,2 oz ,1,11403
Light rum,1 1/2 oz ,1,17836
Lime juice,1 1/2 oz ,1,11419
Dry Vermouth,1 1/2 oz ,1,12420
Light rum,1 oz Jamaican ,1,12186
Apple juice,1 can frozen ,1,12670
Gin,30 ml,1,178340
Gin,1 3/4 shot ,1,17222
Firewater,1/2 oz ,1,13070
Sambuca,2 cl ,1,15328
Pineapple juice,46 oz chilled ,1,13042
Rum,1 oz ,1,16984
