idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strTags,dateModified
14466,Dirty Nipple,Shot,Alcoholic,Shot glass,This is a layered shot - the Bailey's must be on top,https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,,2016-04-28 19:01:49
16992,Pink Penocha,Punch / Party Drink,Alcoholic,Punch bowl,mix all ingredients into bowl keep iced stir frequently,https://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg,,2017-08-24 09:40:07
11416,Gin Smash,Ordinary Drink,Alcoholic,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,"Citrus,StrongFlavor",2017-09-08 16:14:16
14842,Midnight Mint,Cocktail,Alcoholic,Cocktail glass,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",https://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg,,2015-09-02 16:38:30
178319,Aquamarine,Cocktail,Alcoholic,Martini Glass,"Shake well in a shaker with ice.
Strain in a martini glass.",https://www.thecocktaildb.com/images/media/drink/zvsre31572902738.jpg,,
14360,Absolut Sex,Shot,Alcoholic,Old-fashioned glass,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",https://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,,2016-08-31 19:33:56
17227,Addington,Cocktail,Alcoholic,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,,2017-09-07 22:15:25
17833,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,,2016-09-02 11:16:58
16295,Bleeding Surgeon,Soft Drink,Alcoholic,Collins glass,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",https://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,,2016-09-01 09:38:38
13072,Popped cherry,Ordinary Drink,Alcoholic,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,https://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg,,2016-09-08 15:27:05
12690,Lassi - A South Indian Drink,Other / Unknown,Non alcoholic,Highball Glass,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",https://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,,2017-02-20 15:19:40
14860,Talos Coffee,Coffee / Tea,Alcoholic,Brandy snifter,Add your GM and then add your coffee.,https://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,,2015-09-03 03:15:18
11145,Classic Old-Fashioned,Ordinary Drink,Alcoholic,Old-fashioned glass,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",https://www.thecocktaildb.com/images/media/drink/w8cxqv1582485254.jpg,,2017-09-02 16:29:33
12528,White Russian,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,https://www.thecocktaildb.com/images/media/drink/vsrupw1472405732.jpg,,2016-08-28 18:35:32
11053,Arise My Love,Ordinary Drink,Alcoholic,Champagne flute,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.,https://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,,2015-09-02 16:23:52
17239,Hunter's Moon,Cocktail,Alcoholic,Balloon Glass,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",https://www.thecocktaildb.com/images/media/drink/t0iugg1509556712.jpg,,2017-11-01 17:18:32
17218,Vesper,Cocktail,Alcoholic,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",https://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,"IBA,NewEra",2017-09-02 18:48:34
16250,Rum Runner,Punch / Party Drink,Alcoholic,Cocktail glass,Mix all ingredients in glass & add ice.,https://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg,,2017-09-08 17:40:57
13206,Caipirissima,Ordinary Drink,Alcoholic,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,,2017-08-24 10:05:15
13192,National Aquarium,Ordinary Drink,Alcoholic,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,https://www.thecocktaildb.com/images/media/drink/dlw0om1503565021.jpg,,2017-08-24 09:57:01
17249,Pegu Club,Cocktail,Alcoholic,Cocktail glass,"Shake, strain, up, cocktail glass",https://www.thecocktaildb.com/images/media/drink/jfkemm1513703902.jpg,,2017-12-19 17:18:23
11026,Amaretto Mist,Ordinary Drink,Alcoholic,Old-fashioned glass,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",https://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,,2017-01-02 20:19:31
