image_1,image_2,target
faces/Aaron Paul/cropped_Aaron Paul_1.jpg,faces/Aaron Paul/cropped_Aaron Paul_2.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_1.jpg,faces/Aaron Paul/cropped_Aaron Paul_3.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_1.jpg,faces/Aaron Paul/cropped_Aaron Paul_4.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_1.jpg,faces/Aaron Paul/cropped_Aaron Paul_5.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_1.jpg,faces/Aaron Paul/cropped_Aaron Paul_6.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_1.jpg,faces/Aaron Paul/cropped_Aaron Paul_7.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_2.jpg,faces/Aaron Paul/cropped_Aaron Paul_3.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_2.jpg,faces/Aaron Paul/cropped_Aaron Paul_4.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_2.jpg,faces/Aaron Paul/cropped_Aaron Paul_5.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_2.jpg,faces/Aaron Paul/cropped_Aaron Paul_6.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_2.jpg,faces/Aaron Paul/cropped_Aaron Paul_7.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_3.jpg,faces/Aaron Paul/cropped_Aaron Paul_4.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_3.jpg,faces/Aaron Paul/cropped_Aaron Paul_5.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_3.jpg,faces/Aaron Paul/cropped_Aaron Paul_6.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_3.jpg,faces/Aaron Paul/cropped_Aaron Paul_7.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_4.jpg,faces/Aaron Paul/cropped_Aaron Paul_5.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_4.jpg,faces/Aaron Paul/cropped_Aaron Paul_6.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_4.jpg,faces/Aaron Paul/cropped_Aaron Paul_7.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_5.jpg,faces/Aaron Paul/cropped_Aaron Paul_6.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_5.jpg,faces/Aaron Paul/cropped_Aaron Paul_7.jpg,1
faces/Aaron Paul/cropped_Aaron Paul_6.jpg,faces/Aaron Paul/cropped_Aaron Paul_7.jpg,1
faces/Aaron Taylor-Johnson/cropped_Aaron Taylor-Johnson_1.jpg,faces/Aaron Taylor-Johnson/cropped_Aaron Taylor-Johnson_9.jpg,1
faces/Adam Sandler/cropped_Adam Sandler_1.jpg,faces/Adam Sandler/cropped_Adam Sandler_8.jpg,1
faces/Adam Sandler/cropped_Adam Sandler_1.jpg,faces/Adam Sandler/cropped_Adam Sandler_9.jpg,1
faces/Adam Sandler/cropped_Adam Sandler_8.jpg,faces/Adam Sandler/cropped_Adam Sandler_9.jpg,1
faces/Adam Scott/cropped_Adam Scott_1.jpg,faces/Adam Scott/cropped_Adam Scott_2.jpg,1
faces/Adam Scott/cropped_Adam Scott_1.jpg,faces/Adam Scott/cropped_Adam Scott_4.jpg,1
faces/Adam Scott/cropped_Adam Scott_1.jpg,faces/Adam Scott/cropped_Adam Scott_6.jpg,1
faces/Adam Scott/cropped_Adam Scott_1.jpg,faces/Adam Scott/cropped_Adam Scott_8.jpg,1
faces/Adam Scott/cropped_Adam Scott_2.jpg,faces/Adam Scott/cropped_Adam Scott_4.jpg,1
faces/Adam Scott/cropped_Adam Scott_2.jpg,faces/Adam Scott/cropped_Adam Scott_6.jpg,1
faces/Adam Scott/cropped_Adam Scott_2.jpg,faces/Adam Scott/cropped_Adam Scott_8.jpg,1
faces/Adam Scott/cropped_Adam Scott_4.jpg,faces/Adam Scott/cropped_Adam Scott_6.jpg,1
faces/Adam Scott/cropped_Adam Scott_4.jpg,faces/Adam Scott/cropped_Adam Scott_8.jpg,1
