Subject,C1,C2,C3,C4,C5,C6
1,Neutral,Free time,Family members,No,I don't know,Yes
1,Tension,Work,Family members,Yes,Yes,Yes
1,Neutral,Work,No one,No,Yes,Yes
1,Pleased,Work,No one,No,No,Yes
1,Comfortable,Free time,Family members,No,No,Yes
1,Neutral,Free time,Family members,No,Yes,Yes
1,Neutral,Work,No one,No,No,Yes
1,Tired,Work,No one,No,No,I don't know
1,Neutral,Free time,No one,No,No,Yes
1,Comfortable,Eating and drinking,Family members,No,No,Yes
1,Comfortable,Work,No one,No,No,Yes
1,Unhappy,Work,No one,Yes,No,Yes
1,Comfortable,Eating and drinking,Family members,No,No,Yes
1,Neutral,Work,No one,I don't know,I don't know,Yes
1,Comfortable,Chat,Friends,No,No,Yes
1,Unhappy,Listen to music,No one,Yes,No,Yes
1,Unhappy,Work,No one,Yes,No,Yes
1,Comfortable,Cleaning,No one,No,No,Yes
1,Neutral,Work,No one,No,I don't know,Yes
1,Neutral,Sport,No one,No,No,Yes
1,Unhappy,Other,Family members,No,No,Yes
1,Neutral,Work,No one,No,No,Yes
1,Neutral,Free time,No one,No,No,Yes
1,Neutral,Eating and drinking,Family members,No,No,Yes
1,Neutral,Work,No one,No,No,Yes
1,Unhappy,Work,No one,Yes,Yes,Yes
1,Tired,Work,No one,Yes,No,I don't know
1,Good,Watching Videos,No one,No,No,I don't know
1,Neutral,Free time,No one,No,I don't know,Yes
1,Good,Eating and drinking,Family members,Yes,I don't know,Yes
1,Neutral,Work,No one,No,No,Yes
2,Comfortable,Watching Videos,No one,No,No,Yes
2,Neutral,Watching Videos,No one,No,No,Yes
2,Other,Work,No one,I don't know,No,Yes
2,Bad,Rest,Family members,No,No,Yes
2,Happy,Rest,Family members,Yes,No,No
2,Good,Rest,Family members,No,No,Yes
2,Good,Eating and drinking,Family members,No,No,Yes
2,Good,Eating and drinking,Family members,No,No,I don't know
2,Good,Eating and drinking,Family members,No,No,I don't know
2,Good,Chat,Family members,No,No,I don't know
2,Energetic,Work,Friends,No,No,I don't know
2,Good,Work,Friends,No,No,Yes
2,Good,Rest,Family members,No,No,Yes
2,Good,Cleaning,Family members,No,No,Yes
2,Happy,Watching Videos,No one,No,No,Yes
2,Happy,Rest,Family members,No,No,Yes
2,Happy,Rest,Family members,I don't know,No,Yes
2,Good,Free time,No one,No,No,Yes
2,Neutral,Rest,Family members,No,No,Yes
2,Tension,Rest,Family members,Yes,Yes,I don't know
2,Excited,Eating and drinking,Family members,I don't know,No,Yes
2,Good,Chat,Family members,No,No,I don't know
2,Sad,Free time,Family members,Yes,Yes,No
2,Happy,Sport,Family members,No,No,Yes
2,Good,Cleaning,No one,No,No,Yes
2,Happy,Cleaning,No one,No,No,Yes
2,Happy,Watching Videos,Family members,No,No,Yes
2,Happy,Rest,Family members,No,No,Yes
2,Pleased,Watching Videos,No one,No,No,Yes
2,Good,Other,No one,I don't know,I don't know,Yes
2,Happy,Rest,Family members,Yes,No,Yes
2,Happy,Listen to music,Family members,No,No,Yes
