Entity,Code,Year,Leading cancer types causing death in males
Albania,ALB,1987,Trachea and bronchus and lung
Albania,ALB,1988,Trachea and bronchus and lung
Albania,ALB,1989,Trachea and bronchus and lung
Albania,ALB,1992,Trachea and bronchus and lung
Albania,ALB,1993,Trachea and bronchus and lung
Albania,ALB,1994,Trachea and bronchus and lung
Albania,ALB,1995,Trachea and bronchus and lung
Albania,ALB,1996,Trachea and bronchus and lung
Albania,ALB,1997,Trachea and bronchus and lung
Albania,ALB,1998,Trachea and bronchus and lung
Albania,ALB,1999,Trachea and bronchus and lung
Albania,ALB,2000,Trachea and bronchus and lung
Albania,ALB,2001,Trachea and bronchus and lung
Albania,ALB,2002,Trachea and bronchus and lung
Albania,ALB,2003,Trachea and bronchus and lung
Albania,ALB,2004,Trachea and bronchus and lung
Albania,ALB,2005,Trachea and bronchus and lung
Albania,ALB,2006,Trachea and bronchus and lung
Albania,ALB,2007,Trachea and bronchus and lung
Albania,ALB,2008,Trachea and bronchus and lung
Albania,ALB,2009,Trachea and bronchus and lung
Albania,ALB,2010,Trachea and bronchus and lung
Antigua and Barbuda,ATG,1961,Stomach
Antigua and Barbuda,ATG,1962,Other malignant neoplasms
Antigua and Barbuda,ATG,1963,Other malignant neoplasms
Antigua and Barbuda,ATG,1964,Stomach
Antigua and Barbuda,ATG,1966,Other malignant neoplasms
Antigua and Barbuda,ATG,1969,Stomach
Antigua and Barbuda,ATG,1970,Stomach
Antigua and Barbuda,ATG,1971,Stomach
Antigua and Barbuda,ATG,1972,Other malignant neoplasms
Antigua and Barbuda,ATG,1973,Other malignant neoplasms
Antigua and Barbuda,ATG,1974,Other malignant neoplasms
Antigua and Barbuda,ATG,1975,Other malignant neoplasms
Antigua and Barbuda,ATG,1976,Other malignant neoplasms
Antigua and Barbuda,ATG,1977,Stomach
Antigua and Barbuda,ATG,1978,Stomach
Antigua and Barbuda,ATG,1983,Prostate
Antigua and Barbuda,ATG,1985,Stomach
Antigua and Barbuda,ATG,1986,Stomach
Antigua and Barbuda,ATG,1987,Stomach
Antigua and Barbuda,ATG,1988,Stomach
Antigua and Barbuda,ATG,1989,Prostate
Antigua and Barbuda,ATG,1990,Prostate
Antigua and Barbuda,ATG,1991,Prostate
Antigua and Barbuda,ATG,1992,Prostate
Antigua and Barbuda,ATG,1993,Prostate
