Entity,Code,Year,Leading cancer types causing death in females
Albania,ALB,1987,Stomach
Albania,ALB,1988,Stomach
Albania,ALB,1989,Stomach
Albania,ALB,1992,Stomach
Albania,ALB,1993,Stomach
Albania,ALB,1994,Trachea and bronchus and lung
Albania,ALB,1995,Stomach
Albania,ALB,1996,Stomach
Albania,ALB,1997,Trachea and bronchus and lung
Albania,ALB,1998,Trachea and bronchus and lung
Albania,ALB,1999,Breast
Albania,ALB,2000,Stomach
Albania,ALB,2001,Stomach
Albania,ALB,2002,Trachea and bronchus and lung
Albania,ALB,2003,Trachea and bronchus and lung
Albania,ALB,2004,Trachea and bronchus and lung
Albania,ALB,2005,Breast
Albania,ALB,2006,Breast
Albania,ALB,2007,Breast
Albania,ALB,2008,Breast
Albania,ALB,2009,Breast
Albania,ALB,2010,Other malignant neoplasms
Antigua and Barbuda,ATG,1961,Stomach
Antigua and Barbuda,ATG,1962,Corpus uteri
Antigua and Barbuda,ATG,1963,Other malignant neoplasms
Antigua and Barbuda,ATG,1964,Corpus uteri
Antigua and Barbuda,ATG,1966,Breast
Antigua and Barbuda,ATG,1969,Other malignant neoplasms
Antigua and Barbuda,ATG,1970,Other malignant neoplasms
Antigua and Barbuda,ATG,1971,Other malignant neoplasms
Antigua and Barbuda,ATG,1972,Other malignant neoplasms
Antigua and Barbuda,ATG,1973,Cervix uteri
Antigua and Barbuda,ATG,1974,Breast
Antigua and Barbuda,ATG,1975,Stomach
Antigua and Barbuda,ATG,1976,Other malignant neoplasms
Antigua and Barbuda,ATG,1977,Breast
Antigua and Barbuda,ATG,1978,Other malignant neoplasms
Antigua and Barbuda,ATG,1983,Cervix uteri
Antigua and Barbuda,ATG,1985,Breast
Antigua and Barbuda,ATG,1986,Breast
Antigua and Barbuda,ATG,1987,Stomach
Antigua and Barbuda,ATG,1988,Trachea and bronchus and lung
Antigua and Barbuda,ATG,1989,Breast
Antigua and Barbuda,ATG,1990,Breast
Antigua and Barbuda,ATG,1991,Breast
Antigua and Barbuda,ATG,1992,Breast
Antigua and Barbuda,ATG,1993,Other malignant neoplasms
Antigua and Barbuda,ATG,1994,Breast
Antigua and Barbuda,ATG,1995,Breast
Antigua and Barbuda,ATG,1998,Colon and rectum
Antigua and Barbuda,ATG,1999,Ill-defined malignant neoplasms
Antigua and Barbuda,ATG,2000,Breast
Antigua and Barbuda,ATG,2001,Breast
Antigua and Barbuda,ATG,2002,Breast
Antigua and Barbuda,ATG,2003,Breast
Antigua and Barbuda,ATG,2004,Breast
Antigua and Barbuda,ATG,2005,Ill-defined malignant neoplasms
Antigua and Barbuda,ATG,2006,Breast
Antigua and Barbuda,ATG,2007,Breast
Antigua and Barbuda,ATG,2008,Ovary
Antigua and Barbuda,ATG,2009,Breast
Antigua and Barbuda,ATG,2010,Breast
Antigua and Barbuda,ATG,2011,Breast
Antigua and Barbuda,ATG,2012,Breast
Antigua and Barbuda,ATG,2013,Breast
Antigua and Barbuda,ATG,2014,Breast
Antigua and Barbuda,ATG,2015,Breast
Antigua and Barbuda,ATG,2016,Breast
Antigua and Barbuda,ATG,2017,Breast
Antigua and Barbuda,ATG,2018,Breast
Antigua and Barbuda,ATG,2019,Colon and rectum
Antigua and Barbuda,ATG,2020,Breast
Antigua and Barbuda,ATG,2021,Breast
Argentina,ARG,1966,Other malignant neoplasms
Argentina,ARG,1967,Other malignant neoplasms
Argentina,ARG,1968,Other malignant neoplasms
Argentina,ARG,1969,Other malignant neoplasms
Argentina,ARG,1970,Other malignant neoplasms
Argentina,ARG,1977,Other malignant neoplasms
Argentina,ARG,1978,Other malignant neoplasms
Argentina,ARG,1979,Breast
Argentina,ARG,1980,Breast
Argentina,ARG,1981,Breast
Argentina,ARG,1982,Breast
Argentina,ARG,1983,Breast
Argentina,ARG,1984,Breast
Argentina,ARG,1985,Breast
Argentina,ARG,1986,Breast
Argentina,ARG,1987,Breast
Argentina,ARG,1988,Breast
Argentina,ARG,1989,Breast
Argentina,ARG,1990,Breast
Argentina,ARG,1991,Breast
Argentina,ARG,1992,Breast
Argentina,ARG,1993,Breast
Argentina,ARG,1994,Breast
Argentina,ARG,1995,Breast
