Match ID,City,Date,Match Type,Match Type Number,Season,Team Type,Team 1,Team 2,Toss Winner,Toss Decision,Venue,Winner,win_margin_type,Win Margin,Player of the Match,Event Name,Event Match Number,Event Stage,Gender,Umpire 1,Umpire 2,TV Umpire,Match Referee
1000887,Brisbane,2017-01-13,ODI,3817,2016/17,international,Australia,Pakistan,Australia,bat,"Brisbane Cricket Ground, Woolloongabba",Australia,runs,92.0,MS Wade,Pakistan in Australia ODI Series,1.0,,male,MD Martell,C Shamshuddin,CB Gaffaney,JJ Crowe
1000889,,2017-01-15,ODI,3818,2016/17,international,Australia,Pakistan,Australia,bat,Melbourne Cricket Ground,Pakistan,wickets,6.0,Mohammad Hafeez,Pakistan in Australia ODI Series,2.0,,male,CB Gaffaney,P Wilson,C Shamshuddin,JJ Crowe
1000891,Perth,2017-01-19,ODI,3820,2016/17,international,Australia,Pakistan,Australia,field,Western Australia Cricket Association Ground,Australia,wickets,7.0,SPD Smith,Pakistan in Australia ODI Series,3.0,,male,SD Fry,C Shamshuddin,CB Gaffaney,JJ Crowe
1000893,,2017-01-22,ODI,3822,2016/17,international,Australia,Pakistan,Australia,bat,Sydney Cricket Ground,Australia,runs,86.0,DA Warner,Pakistan in Australia ODI Series,4.0,,male,CB Gaffaney,MD Martell,C Shamshuddin,JJ Crowe
1000895,,2017-01-26,ODI,3826,2016/17,international,Australia,Pakistan,Australia,bat,Adelaide Oval,Australia,runs,57.0,DA Warner,Pakistan in Australia ODI Series,5.0,,male,SD Fry,C Shamshuddin,CB Gaffaney,JJ Crowe
1001371,,2016-12-04,ODI,3811,2016/17,international,Australia,New Zealand,Australia,bat,Sydney Cricket Ground,Australia,runs,68.0,SPD Smith,Chappell-Hadlee Trophy,1.0,,male,HDPK Dharmasena,MD Martell,P Wilson,RB Richardson
1001373,Canberra,2016-12-06,ODI,3812,2016/17,international,Australia,New Zealand,New Zealand,field,Manuka Oval,Australia,runs,116.0,DA Warner,Chappell-Hadlee Trophy,2.0,,male,HDPK Dharmasena,P Wilson,NJ Llong,RB Richardson
1001375,,2016-12-09,ODI,3813,2016/17,international,Australia,New Zealand,Australia,bat,Melbourne Cricket Ground,Australia,runs,117.0,DA Warner,Chappell-Hadlee Trophy,3.0,,male,NJ Llong,MD Martell,HDPK Dharmasena,RB Richardson
1003271,Edinburgh,2016-07-04,ODI,3759,2016,international,Scotland,Afghanistan,Scotland,field,"Grange Cricket Club Ground, Raeburn Place",no result,,,,Afghanistan in Scotland ODI Series,1.0,,male,M Hawthorne,IN Ramage,,DT Jukes
1003273,Edinburgh,2016-07-06,ODI,3760,2016,international,Scotland,Afghanistan,Afghanistan,bat,"Grange Cricket Club Ground, Raeburn Place",Afghanistan,runs,78.0,,Afghanistan in Scotland ODI Series,2.0,,male,M Hawthorne,IN Ramage,,DT Jukes
1004283,Edinburgh,2016-09-08,ODI,3778,2016,international,Scotland,Hong Kong,Hong Kong,field,"Grange Cricket Club Ground, Raeburn Place",no result,,,,Hong Kong in Scotland ODI Series,1.0,,male,GO Brathwaite,IN Ramage,,DT Jukes
1004285,Edinburgh,2016-09-10,ODI,3779,2016,international,Scotland,Hong Kong,Scotland,bat,"Grange Cricket Club Ground, Raeburn Place",Scotland,runs,53.0,,Hong Kong in Scotland ODI Series,2.0,,male,GO Brathwaite,IN Ramage,,DT Jukes
1007649,,2016-06-11,ODI,3742,2016,international,Zimbabwe,India,India,field,Harare Sports Club,India,wickets,9.0,KL Rahul,India in Zimbabwe ODI Series,1.0,,male,IJ Gould,RB Tiffin,TJ Matibiri,RB Richardson
1007651,,2016-06-13,ODI,3744,2016,international,Zimbabwe,India,India,field,Harare Sports Club,India,wickets,8.0,YS Chahal,India in Zimbabwe ODI Series,2.0,,male,IJ Gould,L Rusere,RB Tiffin,RB Richardson
1007653,,2016-06-15,ODI,3746,2016,international,Zimbabwe,India,Zimbabwe,bat,Harare Sports Club,India,wickets,10.0,KL Rahul,India in Zimbabwe ODI Series,3.0,,male,IJ Gould,TJ Matibiri,L Rusere,RB Richardson
1019973,Christchurch,2016-12-26,ODI,3814,2016/17,international,New Zealand,Bangladesh,New Zealand,bat,Hagley Oval,New Zealand,runs,77.0,TWM Latham,Bangladesh in New Zealand ODI Series,1.0,,male,WR Knights,C Shamshuddin,PR Reiffel,BC Broad
1019975,Nelson,2016-12-29,ODI,3815,2016/17,international,New Zealand,Bangladesh,Bangladesh,field,Saxton Oval,New Zealand,runs,67.0,NT Broom,Bangladesh in New Zealand ODI Series,2.0,,male,CM Brown,PR Reiffel,C Shamshuddin,BC Broad
1019977,Nelson,2016-12-31,ODI,3816,2016/17,international,New Zealand,Bangladesh,Bangladesh,bat,Saxton Oval,New Zealand,wickets,8.0,KS Williamson,Bangladesh in New Zealand ODI Series,3.0,,male,CM Brown,C Shamshuddin,PR Reiffel,BC Broad
