index,dataset,dataset_key,data,model,data_link,model_link,split,part,openfwi_input
0,CurveFault_A,curvefault-a,seis2_1_0.npy,vel2_1_0.npy,https://www.googleapis.com/drive/v2/files/1qdlAAvDbTL4hJamyH3sszFyfgtZye7Oq,https://www.googleapis.com/drive/v2/files/1PbVUaZClcCt4kYjhkEPbkoTal50h7b_M,train,1,curvefault-a	/kaggle/input/waveform-inversion-1/CurveFault_A/seis2_1_0.npy	/kaggle/input/waveform-inversion-1/CurveFault_A/vel2_1_0.npy
1,CurveFault_A,curvefault-a,seis2_1_1.npy,vel2_1_1.npy,https://www.googleapis.com/drive/v2/files/1vD2FZGNSO636iocMXr28yLOeKVUFMKby,https://www.googleapis.com/drive/v2/files/1oBchBTtncfaEMxpl2JjWCDWleu1z21ao,train,1,curvefault-a	/kaggle/input/waveform-inversion-1/CurveFault_A/seis2_1_1.npy	/kaggle/input/waveform-inversion-1/CurveFault_A/vel2_1_1.npy
2,CurveFault_A,curvefault-a,seis2_1_2.npy,vel2_1_2.npy,https://www.googleapis.com/drive/v2/files/1fsm1rxYuZ8gXQMlICOJ2PiQUrvnfoQat,https://www.googleapis.com/drive/v2/files/1cQLEZVWBHVFyuvrpeqO-3JerP-EIn1m4,train,1,curvefault-a	/kaggle/input/waveform-inversion-1/CurveFault_A/seis2_1_2.npy	/kaggle/input/waveform-inversion-1/CurveFault_A/vel2_1_2.npy
3,CurveFault_A,curvefault-a,seis2_1_3.npy,vel2_1_3.npy,https://www.googleapis.com/drive/v2/files/1T5mf-nCtVY4JN_ZFBTJtSOdxtB6mj16S,https://www.googleapis.com/drive/v2/files/1_xMKU8BaT4RUAuWSxtoAl5bpabm68XOz,train,1,curvefault-a	/kaggle/input/waveform-inversion-1/CurveFault_A/seis2_1_3.npy	/kaggle/input/waveform-inversion-1/CurveFault_A/vel2_1_3.npy
0,CurveFault_B,curvefault-b,seis6_1_0.npy,vel6_1_0.npy,https://www.googleapis.com/drive/v2/files/1_8B1eaA2_5L9HV6-qbeKjrDPSxqFV6lK,https://www.googleapis.com/drive/v2/files/11I51hZm6YVK_IpyhdJNDxxptBH_cJO0J,train,1,curvefault-b	/kaggle/input/waveform-inversion-1/CurveFault_B/seis6_1_0.npy	/kaggle/input/waveform-inversion-1/CurveFault_B/vel6_1_0.npy
1,CurveFault_B,curvefault-b,seis6_1_1.npy,vel6_1_1.npy,https://www.googleapis.com/drive/v2/files/1mlrGCOOISQ5dPX8_5gnM_6CWFL-gJw38,https://www.googleapis.com/drive/v2/files/1j0hI8f837Dq2PzPDCf_AFJTaINq0ArUO,train,1,curvefault-b	/kaggle/input/waveform-inversion-1/CurveFault_B/seis6_1_1.npy	/kaggle/input/waveform-inversion-1/CurveFault_B/vel6_1_1.npy
2,CurveFault_B,curvefault-b,seis6_1_2.npy,vel6_1_2.npy,https://www.googleapis.com/drive/v2/files/1TK84m00x7FEygLNW0LKAdijiIU4wi4e5,https://www.googleapis.com/drive/v2/files/1sIYl5LdqTPteyL3dLjzueAg0U3ZD1tB7,train,1,curvefault-b	/kaggle/input/waveform-inversion-1/CurveFault_B/seis6_1_2.npy	/kaggle/input/waveform-inversion-1/CurveFault_B/vel6_1_2.npy
3,CurveFault_B,curvefault-b,seis6_1_3.npy,vel6_1_3.npy,https://www.googleapis.com/drive/v2/files/1GzQQW7GQgJD0c9U0jv8C_kW_9mmoSx6T,https://www.googleapis.com/drive/v2/files/1vhkwHAKLZxkgCNrMOWdndMQHtX1T5LsV,train,1,curvefault-b	/kaggle/input/waveform-inversion-1/CurveFault_B/seis6_1_3.npy	/kaggle/input/waveform-inversion-1/CurveFault_B/vel6_1_3.npy
0,CurveVel_A,curvevel-a,data1.npy,model1.npy,https://www.googleapis.com/drive/v2/files/1xEhEndLfI_gC7fumBMtgh8d0KIAbNZrN,https://www.googleapis.com/drive/v2/files/1aZQVdGwLmT6fEeqJZj_YELt70UyGcPkN,train,1,curvevel-a	/kaggle/input/waveform-inversion-1/CurveVel_A/data/data1.npy	/kaggle/input/waveform-inversion-1/CurveVel_A/model/model1.npy
1,CurveVel_A,curvevel-a,data2.npy,model2.npy,https://www.googleapis.com/drive/v2/files/1OKY3a8O09N1tnRJhx3MFlgUDUfas9cX3,https://www.googleapis.com/drive/v2/files/1SKIJKtDpthMqB6IjTF1hh9lNUAHv3oHp,train,1,curvevel-a	/kaggle/input/waveform-inversion-1/CurveVel_A/data/data2.npy	/kaggle/input/waveform-inversion-1/CurveVel_A/model/model2.npy
