Subject,eda,bvp,temp,x,y,z,emotion
1,0,-0.03,31.63,-13,-18,62,0
1,0.04,5.06,31.63,-15,-18,62,0
1,0.08,17.91,31.63,-14,-17,62,0
1,0.08,79.34,31.63,-16,-17,60,0
1,0.08,228.25,31.63,3,-12,63,0
1,0.08,-486.47,31.63,9,-3,72,0
1,0.08,-5.02,31.63,13,-2,69,0
1,0.09,160.09,31.63,4,-8,66,0
1,0.09,63.4,31.61,1,-9,65,0
1,0.09,35.3,31.61,3,-9,65,0
1,0.08,-22.52,31.61,1,-10,64,0
1,0.09,10.78,31.61,0,-10,64,0
1,0.08,79.85,31.59,-1,-10,64,0
1,0.09,157.88,31.59,-1,-10,64,0
1,0.09,61.42,31.59,0,-10,64,0
1,0.08,3.83,31.59,-1,-10,65,0
1,0.09,-3.45,31.57,4,-11,63,0
1,0.08,-7.97,31.57,0,-11,64,0
1,0.09,-12.42,31.57,-1,-11,64,0
1,0.09,-27.72,31.57,-1,-11,64,0
1,0.09,-116.2,31.57,-2,-11,64,0
1,0.09,-391.69,31.57,-3,-11,63,0
1,0.08,-67.77,31.57,-2,-11,64,0
1,0.08,32.32,31.57,-1,-13,63,0
1,0.08,55.27,31.55,-2,-11,64,0
1,0.09,16.29,31.55,-2,-11,64,0
1,0.09,-10.43,31.55,-1,-11,64,0
1,0.09,19.7,31.55,-2,-11,64,0
1,0.08,-35.76,31.51,-3,-11,64,0
1,0.09,60.46,31.51,-3,-12,63,0
1,0.08,38.33,31.51,-3,-12,64,0
1,0.08,4.61,31.51,-3,-12,64,0
1,0.08,22.61,31.49,-3,-12,64,0
1,0.08,-10.86,31.49,-3,-12,63,0
1,0.08,26.54,31.49,-3,-12,64,0
1,0.08,20.89,31.49,-2,-12,64,0
1,0.08,-18.3,31.51,-3,-12,64,0
1,0.09,14.75,31.51,-2,-12,63,0
1,0.08,-15.46,31.51,-2,-11,64,0
1,0.08,-21.16,31.51,-3,-12,64,0
1,0.08,22.43,31.49,-3,-12,63,0
1,0.08,-22.65,31.49,-3,-12,64,0
1,0.09,26.16,31.49,-3,-12,64,0
1,0.08,32.36,31.49,-2,-12,64,0
1,0.08,-48.79,31.47,-2,-12,64,0
1,0.08,36.69,31.47,-3,-12,63,0
1,0.08,-9.83,31.47,-3,-12,64,0
1,0.09,9.23,31.47,-3,-12,64,0
1,0.08,10.65,31.47,-3,-12,65,0
1,0.08,-48.85,31.47,-2,-12,65,0
1,0.08,39.32,31.47,-3,-12,64,0
1,0.08,16.22,31.47,-3,-12,64,0
1,0.08,-4.09,31.45,-4,-12,64,0
1,0.08,-42.65,31.45,-3,-12,64,0
1,0.08,-1.65,31.45,-2,-12,63,0
1,0.08,32.35,31.45,-2,-12,64,0
1,0,-0.03,27.11,22,43,41,1
1,0.2,5.06,27.11,23,43,40,1
1,0.3,17.91,27.11,22,43,40,1
1,0.3,79.34,27.11,22,43,41,1
1,0.3,228.25,27.11,23,44,41,1
1,0.3,-486.5,27.11,22,43,41,1
1,0.3,-5.9,27.11,22,43,41,1
1,0.3,156.15,27.11,22,43,42,1
1,0.3,46.78,27.11,21,43,40,1
1,0.3,4.05,27.11,22,43,42,1
1,0.3,0.18,27.11,20,42,42,1
1,0.3,0.9,27.11,22,43,41,1
1,0.3,4,27.09,22,43,41,1
1,0.3,15.41,27.09,22,43,41,1
1,0.3,10.25,27.09,22,43,41,1
1,0.3,-14.03,27.09,21,43,41,1
1,0.3,13.49,27.09,22,43,41,1
1,0.3,50.54,27.09,22,43,42,1
1,0.3,-13.1,27.09,22,43,41,1
1,0.3,-100.26,27.09,22,43,41,1
1,0.3,19.23,27.09,21,43,41,1
1,0.3,8.59,27.09,22,43,42,1
1,0.3,26.01,27.09,21,43,42,1
1,0.3,16.23,27.09,22,43,42,1
1,0.3,-14.43,27.07,22,43,41,1
1,0.3,11.58,27.07,24,44,39,1
1,0.3,4.49,27.07,23,45,39,1
1,0.3,-13.62,27.07,24,44,41,1
1,0.3,9.02,27.07,21,43,40,1
1,0.3,5.57,27.07,22,43,40,1
1,0.3,-12.34,27.07,22,43,40,1
1,0.3,16.31,27.07,20,43,40,1
1,0.3,9.4,27.05,23,43,40,1
1,0.3,-30.58,27.05,24,43,40,1
1,0.3,9.02,27.05,23,44,40,1
1,0.3,18.39,27.05,23,43,41,1
1,0.3,-21.19,27.05,22,43,39,1
1,0.3,-7.99,27.05,22,43,40,1
1,0.3,3.07,27.05,23,44,39,1
1,0.31,13,27.05,24,44,40,1
1,0.3,15.48,27.03,22,43,40,1
1,0.3,0.56,27.03,21,43,41,1
1,0.3,-16.66,27.03,22,44,39,1
1,0.3,3.63,27.03,22,43,41,1
1,0.3,-8.21,27.03,22,43,40,1
1,0.3,-16.19,27.03,22,43,40,1
1,0.3,11.16,27.03,23,44,39,1
1,0.3,-4,27.03,21,43,41,1
1,0.3,-11.19,27.05,23,44,40,1
1,0.3,22.66,27.05,23,44,40,1
1,0.3,8.69,27.05,22,44,40,1
1,0.3,-9.78,27.05,22,43,39,1
1,0.3,7.22,27.03,22,44,40,1
1,0.3,0.06,27.03,23,43,38,1
1,0.3,-13.27,27.03,23,44,37,1
1,0.3,-9.29,27.03,23,45,40,1
1,0,-0.03,31.03,72,11,28,0
1,0.09,5.06,31.03,66,-51,54,0
1,0.14,17.91,31.03,30,-18,44,0
1,0.14,79.34,31.03,-24,-77,12,0
1,0.15,228.25,31.03,9,-22,54,0
1,0.19,-486.42,31.03,2,-7,64,0
1,0.19,-6.01,31.03,6,7,72,0
1,0.19,154.76,31.03,39,2,69,0
1,0.18,32.66,31.13,79,24,36,0
1,0.17,-16.04,31.13,45,8,48,0
1,0.17,-29.38,31.13,23,8,55,0
1,0.16,-9.28,31.13,32,9,59,0
1,0.16,-5.46,31.11,26,8,60,0
1,0.16,2.31,31.11,25,9,59,0
1,0.15,8.32,31.11,31,12,55,0
1,0.15,18.72,31.11,21,7,60,0
1,0.14,15.08,31.05,19,8,61,0
1,0.15,-63.81,31.05,19,8,62,0
1,0.15,-60.33,31.05,19,9,59,0
1,0.14,-1.21,31.05,24,12,55,0
1,0.14,-74.34,31.11,27,14,52,0
1,0.14,209.16,31.11,29,12,57,0
1,0.14,11.51,31.11,50,7,57,0
1,0.14,-41.12,31.11,73,11,62,0
1,0.14,30.9,31.17,27,12,62,0
1,0.15,65.97,31.17,9,11,64,0
1,0.14,-105.74,31.17,13,6,59,0
1,0.14,40.38,31.17,4,8,66,0
1,0.14,-155.78,31.23,5,10,63,0
1,0.14,108.79,31.23,7,10,62,0
1,0.14,185.57,31.23,6,11,62,0
1,0.13,74.97,31.23,13,11,62,0
1,0.13,-38.17,31.05,8,10,65,0
1,0.13,-257.05,31.05,6,9,63,0
1,0.13,168.09,31.05,5,9,64,0
1,0.13,5.9,31.05,6,9,63,0
1,0.13,-102.95,30.95,6,8,64,0
1,0.13,-34.4,30.95,7,6,66,0
1,0.13,20.12,30.95,7,7,64,0
1,0.12,267.68,30.95,6,7,64,0
1,0.13,-40.2,31.25,6,7,64,0
1,0.13,-10.99,31.25,5,5,63,0
1,0.13,-89.37,31.25,5,6,64,0
1,0.13,-123.25,31.25,6,5,64,0
1,0.13,47.51,31.37,5,6,64,0
1,0.13,20.87,31.37,7,7,63,0
1,0.13,101.39,31.37,8,7,63,0
1,0.13,24.31,31.37,7,6,63,0
1,0.13,23.38,31.43,10,7,64,0
1,0.13,-28.01,31.43,6,7,64,0
1,0.13,161.04,31.43,5,6,64,0
1,0.13,22.71,31.43,5,7,63,0
1,0.13,-355.41,31.49,4,6,64,0
1,0.12,-180.21,31.49,2,7,64,0
1,0.12,212.71,31.49,1,8,63,0
1,0.12,117.33,31.49,0,8,64,0
1,0,-0.03,26.97,33,23,50,0
1,0.21,5.06,26.97,33,24,50,0
1,0.29,17.91,26.97,32,25,50,0
1,0.28,79.34,26.97,32,25,49,0
1,0.29,228.25,26.97,32,25,50,0
1,0.28,-486.5,26.97,30,25,50,0
1,0.28,-5.9,26.97,30,24,49,0
1,0.28,156.15,26.97,34,29,45,0
1,0.29,46.78,26.97,40,24,48,0
1,0.29,4.05,26.97,30,26,45,0
1,0.28,0.13,26.97,35,25,48,0
1,0.29,0.72,26.97,32,26,50,0
1,0.29,3.13,26.99,30,29,51,0
1,0.29,12.74,26.99,30,28,49,0
1,0.29,17.69,26.99,25,29,50,0
1,0.29,-13.54,26.99,25,27,50,0
1,0.29,11.85,26.99,29,27,48,0
1,0.29,60.13,26.99,41,30,40,0
1,0.29,98.94,26.99,42,37,27,0
1,0.28,-205.73,26.99,50,38,17,0
1,0.28,-94.84,26.97,46,38,15,0
1,0.28,-70.41,26.97,51,34,21,0
1,0.28,44.61,26.97,48,34,23,0
1,0.27,138.7,26.97,54,33,32,0
1,0.28,118.16,27.01,45,32,31,0
1,0.27,-1.8,27.01,48,34,29,0
1,0.27,-14.09,27.01,50,33,34,0
1,0.27,-5.64,27.01,51,34,27,0
1,0.27,-17.04,26.97,46,34,22,0
1,0.27,-33.42,26.97,50,34,23,0
1,0.27,-11.09,26.97,51,34,23,0
1,0.27,0.34,26.97,51,34,23,0
1,0.27,15.1,26.99,53,34,24,0
1,0.27,6.07,26.99,50,34,23,0
1,0.27,6.32,26.99,54,33,23,0
1,0.27,7.46,26.99,50,34,19,0
1,0.28,-6.84,26.97,51,34,19,0
1,0.27,-6.4,26.97,50,34,19,0
1,0.27,-10.94,26.97,52,34,19,0
1,0.27,9.12,26.97,51,34,20,0
1,0.27,9.23,26.97,47,34,19,0
1,0.27,-3.2,26.97,49,34,20,0
1,0.28,-12.92,26.97,53,33,23,0
1,0.27,22.14,26.97,51,33,22,0
1,0.28,36.07,26.97,51,33,22,0
1,0.27,-11.05,26.97,51,34,20,0
1,0.28,-0.15,26.97,50,34,22,0
1,0.27,1.84,26.97,55,33,23,0
1,0.28,-4.98,26.97,52,33,22,0
1,0.27,0.7,26.97,51,33,23,0
1,0.27,-9.95,26.97,51,33,21,0
1,0.27,6.53,26.97,42,32,23,0
1,0.27,-1.48,26.95,52,32,26,0
1,0.27,-4.66,26.95,53,32,27,0
1,0.27,7.66,26.95,47,32,23,0
1,0.27,2.54,26.95,51,32,24,0
1,0,-0.03,30.65,-34,-34,45,0
1,0.02,5.06,30.65,-35,-34,45,0
1,0.05,17.91,30.65,-35,-34,45,0
1,0.04,79.34,30.65,-34,-33,45,0
1,0.04,228.25,30.65,-34,-34,44,0
1,0.05,-486.5,30.65,-34,-34,45,0
1,0.05,-5.9,30.65,-35,-34,45,0
1,0.05,156.15,30.65,-35,-34,45,0
1,0.04,46.78,30.63,-34,-34,45,0
1,0.04,4.05,30.63,-33,-33,46,0
1,0.05,0.16,30.63,-35,-33,45,0
1,0.05,0.85,30.63,-35,-33,45,0
1,0.05,3.75,30.61,-35,-34,45,0
1,0.05,14.72,30.61,-35,-33,45,0
1,0.05,13.63,30.61,-35,-34,45,0
1,0.05,-13.9,30.61,-35,-33,45,0
1,0.05,16.74,30.59,-35,-33,45,0
1,0.05,68.02,30.59,-35,-34,45,0
1,0.05,53.78,30.59,-35,-34,45,0
1,0.05,-271.96,30.59,-35,-33,45,0
1,0.05,-20.27,30.57,-35,-33,45,0
1,0.05,29.45,30.57,-35,-33,45,0
1,0.05,33.27,30.57,-34,-34,45,0
1,0.05,24.06,30.57,-35,-33,45,0
1,0.04,-3.93,30.57,-36,-33,45,0
1,0.05,11.8,30.57,-35,-34,45,0
1,0.05,10.99,30.57,-35,-33,45,0
1,0.05,-23.35,30.57,-34,-34,46,0
1,0.05,11.13,30.53,-34,-34,46,0
1,0.05,20.12,30.53,-35,-34,46,0
1,0.05,19.03,30.53,-34,-33,46,0
1,0.05,-27.8,30.53,-35,-34,45,0
1,0.05,-35.67,30.51,-36,-34,44,0
1,0.05,-54.91,30.51,-34,-34,45,0
1,0.05,-11.77,30.51,-35,-33,45,0
1,0.05,-6.1,30.51,-35,-33,45,0
1,0.05,75.83,30.49,-35,-33,45,0
1,0.05,19.81,30.49,-35,-33,44,0
1,0.04,-10.68,30.49,-35,-33,45,0
1,0.04,-32.5,30.49,-35,-34,45,0
1,0.04,12.83,30.47,-35,-34,45,0
1,0.04,7.02,30.47,-35,-33,44,0
