subjet,eda,bvp,temp,x,y,z,emotion
1,0,-0.03,31.63,-13,-18,62,0
1,0.04,5.06,31.63,-15,-18,62,0
1,0.08,17.91,31.63,-14,-17,62,0
1,0.08,79.34,31.63,-16,-17,60,0
1,0.08,228.25,31.63,3,-12,63,0
1,0.08,-486.47,31.63,9,-3,72,0
1,0.08,-5.02,31.63,13,-2,69,0
1,0.09,160.09,31.63,4,-8,66,0
1,0.09,63.4,31.61,1,-9,65,0
1,0.09,35.3,31.61,3,-9,65,0
1,0.08,-22.52,31.61,1,-10,64,0
1,0.09,10.78,31.61,0,-10,64,0
1,0.08,79.85,31.59,-1,-10,64,0
1,0.09,157.88,31.59,-1,-10,64,0
1,0.09,61.42,31.59,0,-10,64,0
1,0.08,3.83,31.59,-1,-10,65,0
1,0.09,-3.45,31.57,4,-11,63,0
1,0.08,-7.97,31.57,0,-11,64,0
1,0.09,-12.42,31.57,-1,-11,64,0
1,0.09,-27.72,31.57,-1,-11,64,0
1,0.09,-116.2,31.57,-2,-11,64,0
1,0.09,-391.69,31.57,-3,-11,63,0
1,0.08,-67.77,31.57,-2,-11,64,0
1,0.08,32.32,31.57,-1,-13,63,0
1,0.08,55.27,31.55,-2,-11,64,0
1,0.09,16.29,31.55,-2,-11,64,0
1,0.09,-10.43,31.55,-1,-11,64,0
1,0.09,19.7,31.55,-2,-11,64,0
1,0.08,-35.76,31.51,-3,-11,64,0
1,0.09,60.46,31.51,-3,-12,63,0
1,0.08,38.33,31.51,-3,-12,64,0
1,0.08,4.61,31.51,-3,-12,64,0
1,0.08,22.61,31.49,-3,-12,64,0
1,0.08,-10.86,31.49,-3,-12,63,0
1,0.08,26.54,31.49,-3,-12,64,0
1,0.08,20.89,31.49,-2,-12,64,0
1,0.08,-18.3,31.51,-3,-12,64,0
1,0.09,14.75,31.51,-2,-12,63,0
1,0.08,-15.46,31.51,-2,-11,64,0
1,0.08,-21.16,31.51,-3,-12,64,0
1,0.08,22.43,31.49,-3,-12,63,0
1,0.08,-22.65,31.49,-3,-12,64,0
1,0.09,26.16,31.49,-3,-12,64,0
1,0.08,32.36,31.49,-2,-12,64,0
1,0.08,-48.79,31.47,-2,-12,64,0
1,0.08,36.69,31.47,-3,-12,63,0
1,0.08,-9.83,31.47,-3,-12,64,0
1,0.09,9.23,31.47,-3,-12,64,0
1,0.08,10.65,31.47,-3,-12,65,0
1,0.08,-48.85,31.47,-2,-12,65,0
1,0.08,39.32,31.47,-3,-12,64,0
1,0.08,16.22,31.47,-3,-12,64,0
1,0.08,-4.09,31.45,-4,-12,64,0
1,0.08,-42.65,31.45,-3,-12,64,0
1,0.08,-1.65,31.45,-2,-12,63,0
1,0.08,32.35,31.45,-2,-12,64,0
1,0.08,20.3,31.43,2,-12,64,0
1,0.08,-8.6,31.43,5,-13,64,0
1,0.08,48.98,31.43,5,-13,64,0
1,0.08,31.11,31.43,5,-14,63,0
1,0.08,-13.8,31.41,2,-13,63,0
1,0.08,105.04,31.41,3,-13,63,0
1,0.08,-22.06,31.41,2,-13,63,0
1,0.08,-47.62,31.41,1,-13,63,0
1,0.08,-49.14,31.39,0,-13,63,0
1,0.08,-11.81,31.39,-1,-13,63,0
1,0.08,23.8,31.39,0,-12,64,0
1,0.08,-26.33,31.39,-1,-13,64,0
1,0.09,-63.92,31.39,0,-13,64,0
1,0.09,50.41,31.39,0,-13,64,0
1,0.08,21.63,31.39,-1,-13,63,0
1,0.08,-4.56,31.39,0,-13,64,0
1,0.09,23.34,31.35,0,-13,63,0
1,0.09,-13.63,31.35,0,-13,63,0
1,0.08,24.6,31.35,0,-13,64,0
1,0.08,7.1,31.35,0,-12,63,0
1,0.09,-48.15,31.33,-1,-12,64,0
1,0.08,36.18,31.33,-1,-12,64,0
1,0.08,-7.49,31.33,-1,-12,63,0
1,0.08,-27.26,31.33,-1,-12,63,0
1,0.08,21.53,31.35,-1,-12,64,0
1,0.09,14.7,31.35,-1,-12,63,0
1,0.09,8.7,31.35,-1,-12,64,0
1,0.08,0.59,31.35,0,-12,64,0
1,0.09,-19.43,31.33,0,-13,64,0
1,0.08,35.01,31.33,0,-12,64,0
1,0.08,16.32,31.33,0,-12,64,0
1,0.08,-50.18,31.33,0,-12,64,0
1,0.08,29.95,31.33,0,-13,64,0
1,0.09,-9.84,31.33,0,-13,63,0
1,0.09,-7.04,31.33,-1,-13,63,0
1,0.09,21.86,31.33,0,-12,63,0
1,0.09,-28.68,31.31,-1,-13,63,0
1,0.09,21.67,31.31,0,-12,64,0
1,0.09,5.58,31.31,0,-13,64,0
1,0.09,-37.88,31.31,0,-12,64,0
1,0.09,53.72,31.29,0,-12,64,0
1,0.09,19.58,31.29,4,-11,65,0
1,0.09,-51.61,31.29,6,-12,65,0
1,0.09,17.82,31.29,-1,-15,67,0
1,0.08,-6.81,31.31,-6,-15,63,0
1,0.09,27.99,31.31,-8,-17,66,0
1,0.09,-133.47,31.31,-11,-16,60,0
1,0.09,-264.8,31.31,1,-17,58,0
1,0.09,167.77,31.27,-4,-19,64,0
1,0.09,71.07,31.27,-4,-19,62,0
1,0.09,-124.77,31.27,-4,-19,64,0
1,0.09,-74.28,31.27,-5,-19,63,0
1,0.09,261.12,31.27,-5,-21,62,0
1,0.09,113.23,31.27,-6,-20,62,0
1,0.09,18.93,31.27,-5,-21,60,0
1,0.09,-1.77,31.27,-6,-21,62,0
1,0.09,-12.17,31.23,-5,-21,62,0
1,0.09,-4.88,31.23,-5,-22,61,0
1,0.09,-14.09,31.23,-6,-22,61,0
1,0.09,0.53,31.23,-9,-20,62,0
1,0.09,2.03,31.25,-11,-21,61,0
1,0.09,-12.75,31.25,-11,-21,60,0
1,0,-0.03,27.11,22,43,41,1
1,0.2,5.06,27.11,23,43,40,1
1,0.3,17.91,27.11,22,43,40,1
1,0.3,79.34,27.11,22,43,41,1
1,0.3,228.25,27.11,23,44,41,1
1,0.3,-486.5,27.11,22,43,41,1
1,0.3,-5.9,27.11,22,43,41,1
1,0.3,156.15,27.11,22,43,42,1
1,0.3,46.78,27.11,21,43,40,1
1,0.3,4.05,27.11,22,43,42,1
1,0.3,0.18,27.11,20,42,42,1
1,0.3,0.9,27.11,22,43,41,1
1,0.3,4,27.09,22,43,41,1
1,0.3,15.41,27.09,22,43,41,1
1,0.3,10.25,27.09,22,43,41,1
1,0.3,-14.03,27.09,21,43,41,1
1,0.3,13.49,27.09,22,43,41,1
1,0.3,50.54,27.09,22,43,42,1
1,0.3,-13.1,27.09,22,43,41,1
1,0.3,-100.26,27.09,22,43,41,1
1,0.3,19.23,27.09,21,43,41,1
1,0.3,8.59,27.09,22,43,42,1
1,0.3,26.01,27.09,21,43,42,1
1,0.3,16.23,27.09,22,43,42,1
1,0.3,-14.43,27.07,22,43,41,1
1,0.3,11.58,27.07,24,44,39,1
1,0.3,4.49,27.07,23,45,39,1
1,0.3,-13.62,27.07,24,44,41,1
1,0.3,9.02,27.07,21,43,40,1
1,0.3,5.57,27.07,22,43,40,1
1,0.3,-12.34,27.07,22,43,40,1
1,0.3,16.31,27.07,20,43,40,1
1,0.3,9.4,27.05,23,43,40,1
1,0.3,-30.58,27.05,24,43,40,1
1,0.3,9.02,27.05,23,44,40,1
1,0.3,18.39,27.05,23,43,41,1
1,0.3,-21.19,27.05,22,43,39,1
1,0.3,-7.99,27.05,22,43,40,1
1,0.3,3.07,27.05,23,44,39,1
1,0.31,13,27.05,24,44,40,1
1,0.3,15.48,27.03,22,43,40,1
1,0.3,0.56,27.03,21,43,41,1
1,0.3,-16.66,27.03,22,44,39,1
1,0.3,3.63,27.03,22,43,41,1
1,0.3,-8.21,27.03,22,43,40,1
1,0.3,-16.19,27.03,22,43,40,1
1,0.3,11.16,27.03,23,44,39,1
1,0.3,-4,27.03,21,43,41,1
1,0.3,-11.19,27.05,23,44,40,1
1,0.3,22.66,27.05,23,44,40,1
1,0.3,8.69,27.05,22,44,40,1
1,0.3,-9.78,27.05,22,43,39,1
1,0.3,7.22,27.03,22,44,40,1
1,0.3,0.06,27.03,23,43,38,1
1,0.3,-13.27,27.03,23,44,37,1
1,0.3,-9.29,27.03,23,45,40,1
1,0.3,-20.37,27.05,22,46,39,1
1,0.3,-13.18,27.05,23,44,39,1
1,0.3,28.7,27.05,31,46,33,1
1,0.3,-6.15,27.05,28,44,38,1
1,0.3,-33.87,27.03,25,43,39,1
1,0.3,-25.85,27.03,24,45,39,1
1,0.3,30.62,27.03,22,46,33,1
1,0.3,54.92,27.03,21,48,32,1
1,0.3,143.79,27.03,29,47,32,1
1,0.31,-45.32,27.03,33,47,32,1
1,0.31,-137.26,27.03,33,45,30,1
1,0.32,60.85,27.03,35,44,30,1
1,0.32,114.7,27.01,37,45,28,1
1,0.32,178.79,27.01,37,45,29,1
1,0.32,-112.13,27.01,35,44,28,1
1,0.31,4.42,27.01,31,43,27,1
1,0.32,-74.22,27.03,35,44,32,1
1,0.32,-35.1,27.03,32,47,27,1
1,0.32,-41.23,27.03,36,47,29,1
1,0.32,20.6,27.03,32,46,33,1
1,0.31,78.94,27.03,31,46,32,1
1,0.32,-45,27.03,30,45,34,1
1,0.31,-10.08,27.03,33,45,31,1
1,0.31,16.23,27.03,31,45,33,1
1,0.32,-83.32,27.05,33,44,35,1
1,0.32,-161.96,27.05,31,45,29,1
1,0.32,-77.68,27.05,38,44,30,1
1,0.31,-18.1,27.05,34,44,30,1
1,0.32,-43.48,27.05,34,45,31,1
1,0.32,-84.27,27.05,34,44,31,1
1,0.32,113.31,27.05,34,44,30,1
1,0.31,306.37,27.05,32,44,31,1
1,0.32,101.16,27.05,34,44,33,1
1,0.31,190.07,27.05,31,44,29,1
1,0.32,53.17,27.05,34,45,32,1
1,0.32,18.08,27.05,35,45,29,1
1,0.32,-144.02,27.07,35,45,29,1
1,0.32,-53.84,27.07,36,45,30,1
1,0.32,-152.55,27.07,35,45,30,1
1,0.32,48.36,27.07,35,45,29,1
1,0.32,-85.3,27.09,35,45,29,1
1,0.32,100.16,27.09,34,45,29,1
1,0.32,81.34,27.09,36,44,30,1
1,0.32,27.62,27.09,35,45,29,1
1,0.32,-93.54,27.07,36,45,29,1
1,0.32,27.29,27.07,34,45,29,1
1,0.32,17.53,27.07,35,44,29,1
1,0.32,-0.59,27.07,35,45,30,1
1,0.32,23.23,27.09,36,44,30,1
1,0.32,44.97,27.09,35,45,29,1
1,0.32,29.77,27.09,35,45,29,1
1,0.32,-68.8,27.09,35,45,30,1
1,0.32,-9.34,27.09,34,45,30,1
1,0.32,-12.27,27.09,35,45,30,1
1,0.32,-22.39,27.09,34,45,29,1
1,0.32,-2.85,27.09,34,45,29,1
1,0.32,11.48,27.11,35,44,30,1
1,0.32,3.69,27.11,35,44,29,1
1,0.32,19.02,27.11,35,45,29,1
1,0.32,-23.2,27.11,35,45,29,1
1,0.32,7.05,27.15,35,45,29,1
1,0.32,46.12,27.15,35,45,30,1
1,0,-0.03,31.03,72,11,28,0
1,0.09,5.06,31.03,66,-51,54,0
1,0.14,17.91,31.03,30,-18,44,0
1,0.14,79.34,31.03,-24,-77,12,0
1,0.15,228.25,31.03,9,-22,54,0
1,0.19,-486.42,31.03,2,-7,64,0
1,0.19,-6.01,31.03,6,7,72,0
1,0.19,154.76,31.03,39,2,69,0
1,0.18,32.66,31.13,79,24,36,0
1,0.17,-16.04,31.13,45,8,48,0
1,0.17,-29.38,31.13,23,8,55,0
1,0.16,-9.28,31.13,32,9,59,0
1,0.16,-5.46,31.11,26,8,60,0
1,0.16,2.31,31.11,25,9,59,0
1,0.15,8.32,31.11,31,12,55,0
1,0.15,18.72,31.11,21,7,60,0
1,0.14,15.08,31.05,19,8,61,0
1,0.15,-63.81,31.05,19,8,62,0
1,0.15,-60.33,31.05,19,9,59,0
1,0.14,-1.21,31.05,24,12,55,0
1,0.14,-74.34,31.11,27,14,52,0
1,0.14,209.16,31.11,29,12,57,0
1,0.14,11.51,31.11,50,7,57,0
1,0.14,-41.12,31.11,73,11,62,0
1,0.14,30.9,31.17,27,12,62,0
1,0.15,65.97,31.17,9,11,64,0
1,0.14,-105.74,31.17,13,6,59,0
1,0.14,40.38,31.17,4,8,66,0
1,0.14,-155.78,31.23,5,10,63,0
