row ID;Belehrungszeitpunkt;Altersgruppe;Bezahlart;Authentifizierungsart;Versandart;Zielgruppe
Row1;2022-04-01T16:00:00+00:00;10-19;sepa;Selfie;E-Mail;Beruflich
Row2;2022-04-01T17:00:00+00:00;40-49;paypal;eID;Download;Beruflich
Row8;2022-04-04T13:00:00+00:00;70-79;sepa;Selfie;E-Mail;Beruflich
Row11;2022-04-04T15:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row16;2022-04-05T09:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row18;2022-04-05T13:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row22;2022-04-06T06:00:00+00:00;30-39;creditcard;Selfie;E-Mail;Beruflich
Row24;2022-04-06T10:00:00+00:00;30-39;paypal;Selfie;E-Mail;Beruflich
Row31;2022-04-06T15:00:00+00:00;40-49;paypal;Selfie;E-Mail;Beruflich
Row32;2022-04-06T16:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row34;2022-04-06T20:00:00+00:00;40-49;paypal;Selfie;E-Mail;Beruflich
Row35;2022-04-06T21:00:00+00:00;20-29;sepa;Selfie;E-Mail;Beruflich
Row40;2022-04-07T15:00:00+00:00;10-19;paypal;Selfie;Post;Beruflich
Row45;2022-04-08T00:00:00+00:00;20-29;paypal;Selfie;E-Mail;Beruflich
Row46;2022-04-08T11:00:00+00:00;50-59;sepa;Selfie;E-Mail;Beruflich
Row47;2022-04-08T11:00:00+00:00;20-29;creditcard;Selfie;E-Mail;Beruflich
Row52;2022-04-09T11:00:00+00:00;30-39;paydirekt;Selfie;Post;Beruflich
Row60;2022-04-10T13:00:00+00:00;20-29;sepa;Selfie;E-Mail;Beruflich
Row64;2022-04-10T18:00:00+00:00;10-19;paypal;Selfie;E-Mail;Beruflich
Row65;2022-04-10T22:00:00+00:00;50-59;sepa;Selfie;E-Mail;Beruflich
Row69;2022-04-11T12:00:00+00:00;20-29;sepa;Selfie;E-Mail;Beruflich
Row71;2022-04-11T14:00:00+00:00;20-29;paypal;Selfie;Post;Beruflich
