enter,exit,date,id,location
14,17,2023-06-10T19:49:03.093Z,479,3
10,11,2023-06-10T19:49:13.093Z,15,2
17,22,2023-06-10T19:49:13.093Z,276,9
24,35,2023-06-10T19:49:13.093Z,198,4
7,1,2023-06-10T19:49:23.093Z,910,1
21,23,2023-06-10T19:49:23.093Z,551,9
35,30,2023-06-10T19:49:23.093Z,198,10
7,1,2023-06-10T19:49:33.093Z,37,1
12,10,2023-06-10T19:49:33.093Z,167,8
20,26,2023-06-10T19:49:33.093Z,780,4
7,6,2023-06-10T19:49:43.093Z,266,1
12,7,2023-06-10T19:49:43.093Z,291,8
18,4,2023-06-10T19:49:43.093Z,172,3
21,16,2023-06-10T19:49:43.093Z,318,9
6,10,2023-06-10T19:49:53.093Z,266,8
17,16,2023-06-10T19:49:53.093Z,352,9
34,0,2023-06-10T19:49:53.093Z,9,7
20,26,2023-06-10T19:50:03.093Z,45,4
9,14,2023-06-10T19:50:13.093Z,167,13
13,8,2023-06-10T19:50:13.093Z,378,13
26,27,2023-06-10T19:50:13.093Z,780,11
4,2,2023-06-10T19:50:23.093Z,172,2
26,27,2023-06-10T19:50:23.093Z,45,11
0,3,2023-06-10T19:50:33.093Z,9,1
9,14,2023-06-10T19:50:33.093Z,266,13
7,1,2023-06-10T19:49:53.093Z,807,1
18,13,2023-06-10T19:49:53.093Z,378,3
10,9,2023-06-10T19:50:03.093Z,167,2
7,6,2023-06-10T19:50:13.093Z,291,1
10,9,2023-06-10T19:50:13.093Z,266,2
20,35,2023-06-10T19:50:13.093Z,581,4
34,0,2023-06-10T19:50:13.093Z,344,7
22,21,2023-06-10T19:50:23.093Z,276,6
34,33,2023-06-10T19:50:23.093Z,267,7
6,10,2023-06-10T19:50:33.093Z,291,8
16,20,2023-06-10T19:50:33.093Z,352,3
34,33,2023-06-10T19:50:33.093Z,320,7
3,5,2023-06-10T19:50:43.093Z,9,2
21,23,2023-06-10T19:50:43.093Z,276,9
0,3,2023-06-10T19:50:53.093Z,344,1
27,34,2023-06-10T19:50:53.093Z,780,5
2,1,2023-06-10T19:51:03.093Z,291,1
28,29,2023-06-10T19:51:03.093Z,581,10
5,12,2023-06-10T19:51:13.093Z,9,3
14,17,2023-06-10T19:51:13.093Z,266,3
3,5,2023-06-10T19:51:23.093Z,172,2
35,30,2023-06-10T19:50:33.093Z,581,10
10,2,2023-06-10T19:50:43.093Z,291,2
30,32,2023-06-10T19:50:43.093Z,581,12
2,3,2023-06-10T19:50:53.093Z,172,1
32,28,2023-06-10T19:50:53.093Z,581,6
27,34,2023-06-10T19:51:03.093Z,45,5
3,5,2023-06-10T19:51:13.093Z,344,2
10,2,2023-06-10T19:51:13.093Z,202,2
23,15,2023-06-10T19:51:13.093Z,276,14
2,1,2023-06-10T19:51:23.093Z,717,1
5,17,2023-06-10T19:51:23.093Z,344,3
25,15,2023-06-10T19:51:23.093Z,433,14
2,6,2023-06-10T19:51:33.093Z,202,1
12,7,2023-06-10T19:51:33.093Z,9,8
17,22,2023-06-10T19:51:33.093Z,266,9
17,22,2023-06-10T19:51:43.093Z,344,9
17,22,2023-06-10T19:51:53.093Z,982,9
20,35,2023-06-10T19:51:53.093Z,352,4
1,33,2023-06-10T19:52:03.093Z,369,7
5,17,2023-06-10T19:52:03.093Z,172,3
7,6,2023-06-10T19:52:03.093Z,9,1
15,4,2023-06-10T19:52:03.093Z,276,3
20,35,2023-06-10T19:52:03.093Z,306,4
22,25,2023-06-10T19:52:03.093Z,344,6
6,7,2023-06-10T19:52:13.093Z,202,8
15,19,2023-06-10T19:52:13.093Z,433,3
25,24,2023-06-10T19:52:13.093Z,344,14
24,35,2023-06-10T19:52:23.093Z,344,4
34,18,2023-06-10T19:52:23.093Z,768,7
33,21,2023-06-10T19:52:33.093Z,267,6
35,30,2023-06-10T19:52:33.093Z,352,10
4,5,2023-06-10T19:52:43.093Z,308,2
22,34,2023-06-10T19:52:43.093Z,982,6
33,21,2023-06-10T19:52:43.093Z,320,6
35,30,2023-06-10T19:52:43.093Z,306,10
7,1,2023-06-10T19:52:53.093Z,202,1
18,13,2023-06-10T19:52:53.093Z,768,3
30,32,2023-06-10T19:52:53.093Z,306,12
33,25,2023-06-10T19:52:53.093Z,369,6
35,29,2023-06-10T19:52:53.093Z,344,10
1,1,2023-06-10T19:53:13.093Z,202,7
4,9,2023-06-10T19:53:43.093Z,730,2
9,14,2023-06-10T19:53:53.093Z,730,13
28,30,2023-06-10T19:53:53.093Z,144,10
8,5,2023-06-10T19:54:03.093Z,768,2
14,12,2023-06-10T19:54:03.093Z,730,3
17,22,2023-06-10T19:54:13.093Z,462,9
12,10,2023-06-10T19:54:23.093Z,202,8
14,19,2023-06-10T19:54:33.093Z,48,3
29,27,2023-06-10T19:53:03.093Z,344,11
5,19,2023-06-10T19:53:13.093Z,308,3
27,31,2023-06-10T19:53:23.093Z,344,5
12,7,2023-06-10T19:53:43.093Z,315,8
13,8,2023-06-10T19:53:53.093Z,768,13
31,32,2023-06-10T19:53:53.093Z,344,12
21,22,2023-06-10T19:54:03.093Z,320,9
13,14,2023-06-10T19:54:13.093Z,48,13
32,21,2023-06-10T19:54:23.093Z,144,6
32,34,2023-06-10T19:53:03.093Z,306,6
