HourEnding,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2020 01:00,"9,890.09","1,364.28","3,721.97",773.88,"11,719.86","2,707.84","5,473.25","1,172.94","36,824.12"
01/01/2020 02:00,"9,751.59","1,369.57","3,735.51",775.06,"11,639.46","2,706.84","5,387.38","1,165.95","36,531.37"
01/01/2020 03:00,"9,603.42","1,373.53","3,735.85",774.15,"11,515.42","2,650.38","5,270.33","1,149.08","36,072.17"
01/01/2020 04:00,"9,501.59","1,365.63","3,743.52",778.10,"11,518.36","2,586.71","5,200.96","1,141.30","35,836.16"
01/01/2020 05:00,"9,499.43","1,385.60","3,753.90",784.08,"11,649.29","2,548.85","5,230.30","1,147.09","35,998.54"
01/01/2020 06:00,"9,589.74","1,404.98","3,766.92",806.03,"11,872.95","2,556.81","5,338.59","1,151.01","36,487.04"
01/01/2020 07:00,"9,695.40","1,425.24","3,762.86",820.87,"12,140.11","2,568.12","5,503.71","1,182.73","37,099.05"
01/01/2020 08:00,"9,734.79","1,449.62","3,771.62",834.97,"12,293.36","2,556.82","5,588.63","1,218.64","37,448.44"
01/01/2020 09:00,"9,849.18","1,460.07","3,776.81",846.29,"12,496.01","2,600.88","5,709.27","1,249.68","37,988.18"
01/01/2020 10:00,"10,142.60","1,436.91","3,822.10",851.50,"12,831.48","2,737.43","5,917.16","1,266.35","39,005.53"
01/01/2020 11:00,"10,434.94","1,467.95","3,832.30",850.97,"13,199.83","2,851.13","6,103.93","1,270.16","40,011.21"
01/01/2020 12:00,"10,646.12","1,481.55","3,830.76",845.02,"13,249.60","2,941.06","6,153.40","1,257.54","40,405.06"
01/01/2020 13:00,"10,693.77","1,430.43","3,812.81",823.28,"13,111.38","2,996.74","6,212.33","1,239.98","40,320.73"
01/01/2020 14:00,"10,601.97","1,416.23","3,785.00",804.71,"12,882.25","2,986.58","6,198.23","1,230.49","39,905.45"
01/01/2020 15:00,"10,518.26","1,388.95","3,766.76",791.03,"12,585.63","2,977.09","6,137.56","1,219.56","39,384.85"
01/01/2020 16:00,"10,459.09","1,392.92","3,741.52",779.60,"12,355.04","2,979.20","6,123.70","1,207.20","39,038.27"
01/01/2020 17:00,"10,489.81","1,396.66","3,757.09",787.36,"12,405.86","2,994.64","6,206.90","1,216.77","39,255.08"
01/01/2020 18:00,"10,877.52","1,434.22","3,781.10",822.60,"12,996.48","3,088.05","6,487.63","1,249.24","40,736.83"
01/01/2020 19:00,"11,021.18","1,472.41","3,826.63",837.14,"13,399.93","3,217.82","6,674.19","1,288.45","41,737.74"
01/01/2020 20:00,"10,891.34","1,471.50","3,822.09",822.96,"13,202.04","3,203.67","6,569.94","1,289.94","41,273.48"
01/01/2020 21:00,"10,720.99","1,420.16","3,796.07",809.95,"12,959.99","3,150.63","6,410.36","1,283.04","40,551.19"
