LIIK;TYYP;MARK;MUDEL;KATEGOORIA;KERE_MATERJAL;PIKKUS;LAIUS;SYVIS;EHITUSAASTA;ESMANE_REG_KP;MOOTORITE_ARV;MOOTORITE_VOIMSUS;VKOM_MAAKOND;VKOM_TYYP
VÄIKELAEV;MOOTORPAAT;RENKEN;-;C;PLASTIK;6.5;2.4;0.5;1989;;1;133.0;Harju;FYYSILINE
JETT;;SEA-DOO;RXP-X 260 RS;C;;3.32;1.23;;2013;;1;179.0;Lääne-Viru;FYYSILINE
JETT;;KAWASAKI;ULTRA 300X;C;;3.37;1.2;;2011;;1;213.0;Harju;FYYSILINE
ALLA12MLAEV;KALAPAAT;AMUR;D;C;ALUMIINIUM;5.5;1.84;0.33;;2020-04-27;1;44.1;Pärnu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;3M;C;ALUMIINIUM;4.65;1.7;0.3;1988;;0;22.0;Järva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MAJAK;-;D;PLASTIK;3.9;1.5;0.25;1999;2017-04-19;1;6.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;CURSUS;550;D;PLASTIK;5.4;2.05;0.25;2015;2015-12-02;1;37.3;Pärnu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;OB;3;C;ALUMIINIUM;4.3;1.55;0.2;1990;;1;22.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MARITIM;550 HT;C;PLASTIK;5.5;2.4;0.86;1991;;1;66.0;Tartu;FYYSILINE
VÄIKELAEV;PURJEJAHT;BECKER;27;C;PLASTIK;8.12;2.74;1.43;1978;2016-10-20;1;7.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;HONWAVE;T25AE;D;KANGAS;2.5;1.56;;2013;;1;4.6;Ida-Viru;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;ADMIRAL;AM280;D;KANGAS;2.8;1.42;0.1;;2021-02-09;1;1.5;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;NOVA;D;PLASTIK;4.4;1.62;0.26;2017;2017-05-06;1;7.4;Valga;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;HIIU;450;D;PLASTIK;4.5;1.6;0.35;2015;2015-06-12;1;10.0;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;3.7;1.04;0.0;2004;;1;9.6;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;2.56;1.36;0.0;1991;;1;1.1;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;TERHI;400BS;D;PLASTIK;4.1;1.61;0.2;1974;2017-10-10;1;25.7;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;ZODIAC;FH12.6;C;KANGAS;3.8;1.6;0.15;2011;;1;15.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAFA;-;D;PLASTIK;4.5;1.5;0.2;1988;;0;0.0;Harju;FYYSILINE
ALLA12MLAEV;KALAPAAT;MÄÄRAMATA;-;D;PUIT;6.0;2.0;0.5;1985;;1;15.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSTER;L PROF;C;ALUMIINIUM;4.9;1.97;;2007;;1;37.0;Saare;FYYSILINE
VÄIKELAEV;TÖÖPAAT;-;-;;ALUMIINIUM;4.65;1.7;0.0;1974;;0;29.0;Lääne;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;4.98;1.7;0.0;1996;;1;6.0;Põlva;FYYSILINE
VÄIKELAEV;MOOTORPAAT;NICKI;420;D;PLASTIK;4.2;1.8;0.3;;2021-10-06;1;22.1;Tartu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;TERAS;2.7;1.1;0.0;1989;;0;3.0;Ida-Viru;FYYSILINE
VÄIKELAEV;PURJEJAHT;FINN EXPRESS;83;C;PLASTIK;8.3;2.85;1.4;1981;2018-06-05;1;15.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;FJORD;D;PLASTIK;4.36;1.46;0.28;1991;;1;1.5;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;4.36;1.46;6.0;1989;;0;4.0;Hiiu;FYYSILINE
ALLA12MLAEV;KALAPAAT;SAKA;440;D;PLASTIK;4.4;1.7;0.17;2015;2016-09-20;1;4.5;Pärnu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;HONWAVE;T38IE2;C;KANGAS;3.76;1.7;0.15;2014;2014-12-08;1;18.7;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;BUSH;CRAB K-330;C;KUMM;3.3;2.29;0.2;2014;2021-08-05;1;15.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MÄÄRAMATA;-;C;PUIT;6.0;1.8;0.0;1983;;1;10.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SKIPP;400;D;PLASTIK;4.0;1.42;0.25;2008;;1;3.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;4;D;ALUMIINIUM;4.65;1.7;0.3;1973;;1;22.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;D;PUIT;5.0;1.4;0.0;1998;;0;0.0;Tartu;FYYSILINE
